team,team_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Baltimore Orioles,110,2021,3418,2320,.270,.266,0.004,.459,.465,-0.006,.347,.349,-0.002
Kansas City Royals,118,2021,3395,2234,.262,.257,0.005,.442,.464,-0.022,.341,.348,-0.007
Arizona Diamondbacks,109,2021,3575,2506,.274,.264,0.010,.478,.461,0.017,.352,.343,0.009
Minnesota Twins,142,2021,3370,2319,.261,.260,0.001,.457,.465,-0.008,.336,.340,-0.004
Detroit Tigers,116,2021,3440,2345,.253,.256,-0.003,.421,.443,-0.022,.330,.339,-0.009
St. Louis Cardinals,138,2021,3417,2262,.232,.252,-0.020,.368,.415,-0.047,.312,.337,-0.025
Seattle Mariners,136,2021,3383,2303,.244,.253,-0.009,.405,.437,-0.032,.314,.330,-0.016
Pittsburgh Pirates,134,2021,3352,2255,.248,.249,-0.001,.419,.422,-0.003,.326,.329,-0.003
Chicago Cubs,112,2021,3407,2219,.234,.247,-0.013,.404,.416,-0.012,.318,.329,-0.011
Colorado Rockies,115,2021,3376,2327,.255,.254,0.001,.428,.421,0.007,.329,.328,0.001
Cleveland Indians,114,2021,3205,2049,.236,.243,-0.007,.410,.423,-0.013,.316,.325,-0.009
Texas Rangers,140,2021,3419,2379,.256,.252,0.004,.427,.426,0.001,.324,.324,-0.000
Washington Nationals,120,2021,3238,2161,.237,.245,-0.008,.405,.430,-0.025,.310,.323,-0.013
Atlanta Braves,144,2021,3326,2188,.243,.245,-0.002,.400,.417,-0.017,.314,.322,-0.008
Boston Red Sox,111,2021,3483,2283,.260,.250,0.010,.413,.409,0.004,.326,.322,0.004
Cincinnati Reds,113,2021,3474,2200,.238,.235,0.003,.404,.397,0.007,.319,.316,0.003
Los Angeles Angels,108,2021,3419,2189,.246,.234,0.012,.413,.393,0.020,.325,.315,0.010
Oakland Athletics,133,2021,3432,2392,.243,.246,-0.003,.391,.416,-0.025,.303,.315,-0.012
San Diego Padres,135,2021,3462,2225,.226,.237,-0.011,.380,.402,-0.022,.298,.312,-0.014
Toronto Blue Jays,141,2021,3221,2093,.235,.233,0.002,.412,.402,0.010,.314,.310,0.004
Houston Astros,117,2021,3382,2229,.222,.234,-0.012,.374,.400,-0.026,.295,.310,-0.015
Philadelphia Phillies,143,2021,3291,2171,.248,.238,0.010,.422,.400,0.022,.320,.309,0.011
New York Mets,121,2021,3012,1918,.223,.237,-0.014,.365,.398,-0.033,.291,.309,-0.018
Miami Marlins,146,2021,3265,2169,.227,.235,-0.008,.364,.384,-0.020,.291,.304,-0.013
New York Yankees,147,2021,3260,2131,.228,.228,0.000,.383,.395,-0.012,.296,.302,-0.006
Tampa Bay Rays,139,2021,3291,2162,.224,.233,-0.009,.379,.394,-0.015,.291,.301,-0.010
Chicago White Sox,145,2021,3215,2029,.228,.230,-0.002,.374,.384,-0.010,.294,.300,-0.006
Milwaukee Brewers,158,2021,3413,2109,.214,.222,-0.008,.356,.363,-0.007,.289,.296,-0.007
San Francisco Giants,137,2021,3238,2196,.220,.231,-0.011,.359,.377,-0.018,.282,.294,-0.012
Los Angeles Dodgers,119,2021,3322,2090,.213,.219,-0.006,.355,.368,-0.013,.280,.289,-0.009